Word,Weight
Advisory,1
Aegis,1
Allegiance,1
Apex,1
Ascendant,1
Atlas,1
Axis,1
Beacon,1
Capital,1
Catalyst,1
Cipher,1
Citadel,1
Command,1
Concord,1
Conquest,1
Consulting,1
Continuum,1
Core,1
Crest,1
Crucible,1
Development,1
Dominion,1
Dynamics,1
Dynamo,1
Element,1
Elite,1
Empire,1
Endeavor,1
Engineering,1
Enigma,1
Enterprise,1
Envision,1
Epoch,1
Excelsior,1
Exemplar,1
Fortress,1
Frontier,1
Fulcrum,1
Fusion,1
Genesis,1
Gravitas,1
Grit,1
Helix,1
Holdings,1
Horizon,1
Ignite,1
Impact,1
Imperium,1
Impetus,1
Inception,1
Innovations,1
Insight,1
Integration,1
Integrity,1
Intrepid,1
Investments,1
Invictus,1
Kinetics,1
Legacy,1
Liberty,1
Logistics,1
Lumina,1
Luminary,1
Management,1
Matrix,1
Meridian,1
Modus,1
Momentum,1
Monument,1
Nebula,1
Networks,1
Nexus,1
Nova,1
Objective,1
Obsidian,1
Onyx,1
Operations,1
Optima,1
Optimum,1
Origin,1
Paradigm,1
Paragon,1
Partners,1
Pinnacle,1
Pioneer,1
Praxis,1
Precision,1
Prestige,1
Prime,1
Prism,1
Prodigy,1
Prospect,1
Pulse,1
Quantum,1
Radiance,1
Raptor,1
Realm,1
Reign,1
Repute,1
Resolute,1
Resolve,1
Resources,1
Revive,1
Rising,1
Savant,1
Sentinel,1
Services,1
Solstice,1
Solutions,1
Sovereign,1
Spectrum,1
Strategies,1
Strategy,1
Stratos,1
Summit,1
Surge,1
Synergy,1
Systems,1
Technologies,1
Tenacity,1
Titan,1
Torque,1
Traverse,1
Trident,1
Triumph,1
Unity,1
Valor,1
Vanguard,1
Vector,1
Velocity,1
Venture,1
Veritas,1
Vertex,1
Vision,1
Vortex,1
Zenith,1
Zephyr,1
