Word,Weight
Aegis,1
Anvil,1
Apex,1
Arcane,1
Ashen,1
Atlas,1
Avenger,1
Bastion,1
Blackhawk,1
Blackout,1
Blade,1
Blaze,1
Blitz,1
Bloodhound,1
Brawler,1
Brimstone,1
Cinder,1
Cobalt,1
Cobra,1
Colossus,1
Comet,1
Crusader,1
Cyclone,1
Darkhawk,1
Direwolf,1
Draconis,1
Drakon,1
Dread,1
Dreadnought,1
Drifter,1
Echelon,1
Eclipse,1
Ember,1
Enforcer,1
Enigma,1
Falcon,1
Falconer,1
Feral,1
Forge,1
Frost,1
Frostbite,1
Fury,1
Ghost,1
Gladiator,1
Gladius,1
Grim,1
Guardian,1
Hammer,1
Harbinger,1
Harrier,1
Havoc,1
Helix,1
Hellfire,1
Hellhound,1
Hunter,1
Inferno,1
Iron,1
Ironclad,1
Ironfist,1
Ironheart,1
Ironhide,1
Javelin,1
Juggernaut,1
Knight,1
Lynx,1
Maelstrom,1
Marauding,1
Mercenary,1
Mirage,1
Nightfall,1
Nightshade,1
Nomad,1
Nova,1
Obsidian,1
Omen,1
Onyx,1
Orion,1
Outlaw,1
Outrider,1
Panther,1
Phalanx,1
Phantom,1
Phoenix,1
Predator,1
Pyre,1
Pyro,1
Quasar,1
Rampage,1
Rampart,1
Ranger,1
Raptor,1
Ravager,1
Raven,1
Ravenous,1
Razor,1
Reaper,1
Reaver,1
Rebellion,1
Reckoning,1
Reign,1
Renegade,1
Rogue,1
Sabre,1
Scorpion,1
Scourge,1
Sentinel,1
Shadow,1
Shadowhawk,1
Shard,1
Shatter,1
Shrapnel,1
Skyhawk,1
Specter,1
Spectral,1
Spectre,1
Starfire,1
Steel,1
Storm,1
Stormbreaker,1
Stormbringer,1
Stormwatch,1
Stratos,1
Strider,1
Strike,1
Striker,1
Surge,1
Talon,1
Tempest,1
Thunder,1
Thunderbolt,1
Thunderstorm,1
Thunderstrike,1
Titan,1
Titanfall,1
Titanis,1
Tracer,1
Valkyrie,1
Valor,1
Vanguard,1
Venom,1
Vindicator,1
Viper,1
Vortex,1
Vulcan,1
Warhound,1
Warlock,1
Warlord,1
Warpath,1
Wolf,1
Wolfpack,1
Wraith,1
Wrath,1
Zenith,1
Zephyr,1
