Word,Weight
Accidentally Awesome,1
Adrenaline Accidentals,1
Adrenaline Junkies,1
Against the Butt,1
Aimless Artillery,1
Apocalypse Maybes,1
Armchair Admirals,1
Armor Amateurs,1
Armor Anomalies,1
Armor in Progress,1
Armor-Piercing Amateurs,1
Armored Amateurs,1
Armored Antics,1
Armored by Duct Tape,1
Arrow IV Assistants,1
Ash and Cinders,1
Assembled on Arrival,1
Backfire Battalion,1
Backfire Brothers,1
Backup Bandits,1
Backup Blunderers,1
Backup Breakers,1
Band-Aid Brigade,1
Bandaged Battalion,1
Bang and Clang Brigade,1
Bar Tab Heroes,1
Battered and Bruised,1
Battered Bandits,1
Battle-Damaged Besties,1
Battle-Fatigued Bandits,1
Battle-Scarred Buccaneers,1
Battle-Stained Blunderers,1
Battlehardened Baffoons,1
Bent Antenna Brigade,1
Bent Barrel Blasters,1
Bent Blades,1
Bent Chassis Battalion,1
Bent Frame Fighters,1
Big Red Button Bashers,1
Black Box Reliables,1
Blackout Battalion,1
Blast Radius Battalion,1
Blazing Disasters,1
Blind Luck Battalion,1
Blindside Battalion,1
Blips on the Radar,1
Blitz and Bash Brigade,1
Blitz and Bungle Buddies,1
Blitz and Glitz,1
Blitzed Brawlers,1
Blown Fuses,1
Blown-Out Battalion,1
Blue-Screen Battalion,1
Blunder Brigade,1
Blunderbuss Battalion,1
Blundered Battalion,1
Blunders & Ballistics,1
Blunders and Brawn,1
Bodge Job Buggers,1
Bolt Loosened Legion,1
Bolted Together,1
Bonked Battalion,1
Boom or Bust Brigade,1
Bootleg Brigade,1
Bootstrapped Battalion,1
Botched Effort,1
Brainfart Brigade,1
Brake Failure Battalion,1
Breakdown Brigade,1
Brick Wall Battalion,1
Broken Barrel Bandits,1
Broken Battlebots,1
Broken Bits,1
Broken Compass Crew,1
Broken Gear Gang,1
Broken-Bolt Battalion,1
Broken-Down Battlers,1
Budget Brawlers,1
Bumbling Bombardiers,1
Bumpy Battalion,1
Burn Barrel Battalion,1
Burnout Brothers,1
Burnt Circuit Battalion,1
Burnt Offerings,1
Burnt Out Brawlers,1
Bust-Up Battalion,1
Busted Bearings,1
Busted Blades,1
Busted Bolts Brigade,1
Button Mashing Maniacs,1
Button Pushers,1
Button Smashers,1
Buyer Regrets,1
Buzzed Blasters,1
By the Seat of Our Pants,1
Calamity Corps,1
Call for Backup,1
Cannon Fodder Cartel,1
Casual Casualties,1
Casualty Collectors,1
Catapulted Chaos,1
Catastrophic Crusaders,1
Caution Tape Corps,1
Chaos Consultants,1
Chipped Armor Crew,1
Circuit Snaggers,1
Circuit-Breaker Commandos,1
Circuitbreakers,1
Clogged Cannons,1
Close Enough Corps,1
Clueless Commandos,1
Cluster Cannon Crew,1
Clusterstrike Crew,1
Cobweb Commanders,1
Code Red Rejects,1
Coffee and Chaos,1
Coin Toss Corps,1
Collateral Cowboys,1
Collateral Damage Experts,1
Collision Course Corps,1
Comically Underprepared,1
Conscripted Chaos,1
Contractual Obligations,1
